Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,29396,Central,NA,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
JavaOnly,29396,FedAvg,20,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-03-01 17:16:11.150645', '2024-03-01 18:00:43.034265', '2024-03-01 18:22:52.544316']","['2024-03-01 18:00:31.698608', '2024-03-01 18:22:41.569827', '2024-03-01 19:05:37.392564']",1,3271,0.003262625377885863,0.05311391539125401,"{'rouge-1': {'r': 0.06968398316897614, 'p': 0.0775523254222445, 'f': 0.06393763575797783}, 'rouge-2': {'r': 0.02822540261167564, 'p': 0.02291118450580842, 'f': 0.023006574789555135}, 'rouge-l': {'r': 0.0624025599157748, 'p': 0.07010309463302941, 'f': 0.0570302840508535}}"
JavaOnly,29396,FedAvg,1,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-10-02 16:22:42.981188', '2024-10-02 17:10:21.751583', '2024-10-02 17:34:08.397235']","['2024-10-02 17:10:04.000597', '2024-10-02 17:33:50.906253', '2024-10-02 18:19:50.343912']",1,3271,0.10490263801655082,0.32007634483628644,"{'rouge-1': {'r': 0.38959790287439205, 'p': 0.4095218113763577, 'f': 0.3763079934615309}, 'rouge-2': {'r': 0.176962674055395, 'p': 0.1850838311474689, 'f': 0.16796443204067857}, 'rouge-l': {'r': 0.3569637887024938, 'p': 0.3736244217936949, 'f': 0.344089399403599}}"
JavaOnly,29396,FedAvg,2,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-10-02 18:56:16.147103', '2024-10-02 19:43:48.073450', '2024-10-02 20:07:26.198575']","['2024-10-02 19:43:36.129433', '2024-10-02 20:07:14.964430', '2024-10-02 20:53:06.237818']",1,3271,0.03610267357484974,0.2410613966721595,"{'rouge-1': {'r': 0.3181373911691541, 'p': 0.28269837062297437, 'f': 0.27773502060598254}, 'rouge-2': {'r': 0.1414409673895469, 'p': 0.11733960074023765, 'f': 0.11653069306566749}, 'rouge-l': {'r': 0.2876870188205924, 'p': 0.25439611842664744, 'f': 0.2503238411861443}}"
JavaOnly,29396,FedAvg,3,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-10-02 22:39:48.870255', '2024-10-02 23:27:18.783683', '2024-10-02 23:50:56.417491']","['2024-10-02 23:27:07.278416', '2024-10-02 23:50:45.552593', '2024-10-03 00:36:37.925784']",1,3271,0.021109423595928378,0.21087451931265913,"{'rouge-1': {'r': 0.2834098584712524, 'p': 0.24258736213332843, 'f': 0.24150378651170107}, 'rouge-2': {'r': 0.12410017931453364, 'p': 0.09741968954187816, 'f': 0.09932482616910752}, 'rouge-l': {'r': 0.25860957523223266, 'p': 0.22090549796195358, 'f': 0.21986162522037572}}"
JavaOnly,29396,FedAvg,4,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-10-03 03:06:10.888338', '2024-10-03 03:53:42.429243', '2024-10-03 04:17:20.548463']","['2024-10-03 03:53:30.830699', '2024-10-03 04:17:09.425348', '2024-10-03 05:02:58.526720']",1,3271,0.012009240610178974,0.14640973183234804,"{'rouge-1': {'r': 0.19502464927716032, 'p': 0.17571886936163206, 'f': 0.16806025431009697}, 'rouge-2': {'r': 0.08224702107219546, 'p': 0.06600802372731711, 'f': 0.06711981366019354}, 'rouge-l': {'r': 0.17585083353587488, 'p': 0.15874606041390063, 'f': 0.15130814365168607}}"
JavaOnly,29396,FedAvg,5,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-10-03 08:45:48.868476', '2024-10-03 09:33:19.984095', '2024-10-03 09:56:57.291256']","['2024-10-03 09:33:08.393577', '2024-10-03 09:56:46.528041', '2024-10-03 10:42:36.227782']",1,3271,0.007318077479827725,0.1090621021762174,"{'rouge-1': {'r': 0.14720409583913593, 'p': 0.135444281302419, 'f': 0.12696245619941848}, 'rouge-2': {'r': 0.0595951459203534, 'p': 0.04811964575225457, 'f': 0.04821976581467915}, 'rouge-l': {'r': 0.13273715110305984, 'p': 0.12256487949575877, 'f': 0.11422038223386603}}"
JavaOnly,29396,FedAvg,6,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-10-03 15:03:33.571047', '2024-10-03 15:51:02.829738', '2024-10-03 16:14:41.167400']","['2024-10-03 15:50:51.189709', '2024-10-03 16:14:30.115082', '2024-10-03 17:00:21.943159']",1,3271,0.0061620404809753365,0.1016445475809989,"{'rouge-1': {'r': 0.13711846718386647, 'p': 0.13076961227134018, 'f': 0.11910177105680933}, 'rouge-2': {'r': 0.056169829229247105, 'p': 0.04581004119219684, 'f': 0.045685977503220135}, 'rouge-l': {'r': 0.1238052662340119, 'p': 0.1185501293846889, 'f': 0.10718391194915335}}"
JavaOnly,29396,FedAvg,7,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-10-03 21:32:02.939501', '2024-10-03 22:19:33.104330', '2024-10-03 22:43:10.287148']","['2024-10-03 22:19:21.557503', '2024-10-03 22:42:59.217972', '2024-10-03 23:28:49.162420']",1,3271,0.005462199604246363,0.0936784289371995,"{'rouge-1': {'r': 0.12557192799130026, 'p': 0.12341068599181941, 'f': 0.11098353511759378}, 'rouge-2': {'r': 0.05175359164560069, 'p': 0.04301984343469374, 'f': 0.04265514519989549}, 'rouge-l': {'r': 0.1151822238987981, 'p': 0.11321969242707122, 'f': 0.10134106704219091}}"
JavaOnly,29396,FedAvg,8,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-10-04 04:06:29.573918', '2024-10-04 04:53:59.043454', '2024-10-04 05:17:36.751082']","['2024-10-04 04:53:47.450097', '2024-10-04 05:17:25.703189', '2024-10-04 06:03:16.878267']",1,3271,0.00523063399499409,0.09434311486759842,"{'rouge-1': {'r': 0.12705718725940962, 'p': 0.12457605228933408, 'f': 0.11220255115076137}, 'rouge-2': {'r': 0.04892731863699722, 'p': 0.040938649899228075, 'f': 0.040500882766334574}, 'rouge-l': {'r': 0.113002683093824, 'p': 0.11161411435269877, 'f': 0.09959843268693125}}"
JavaOnly,29396,FedAvg,9,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-10-04 10:35:43.053287', '2024-10-04 11:23:13.502799', '2024-10-04 11:46:51.828855']","['2024-10-04 11:23:01.923683', '2024-10-04 11:46:40.783612', '2024-10-04 12:32:31.447558']",1,3271,0.004991388662155197,0.09204851874473015,"{'rouge-1': {'r': 0.12337333707350506, 'p': 0.12413932587986465, 'f': 0.10927477198312384}, 'rouge-2': {'r': 0.04932825499511691, 'p': 0.04096502505166026, 'f': 0.04077469825769762}, 'rouge-l': {'r': 0.1114022609225553, 'p': 0.11316787271622057, 'f': 0.09844991916930358}}"
